,sexo,estado_civil,ingresos_mensuales,condiciones_oculares,lentes,iluminacion,frecuencia_de_pausas,uso_de_dispositivos,distancia_hacia_el_monitor,severidad_svi
sexo,1.0,0.2979106500570634,0.4528105418997759,0.0864058099186803,0.0259499648053841,0.11605177063713189,0.14829105603927054,0.1484539238050411,0.06579516949597687,0.2767855820458144
estado_civil,0.2979106500570634,1.0,0.3637846418866511,0.30683586843535804,0.3708771461681854,0.2658105916912843,0.1274817032857551,0.2321732734498717,0.20356259218660225,0.2683492537931157
ingresos_mensuales,0.4528105418997759,0.3637846418866511,1.0,0.11298486863521412,0.2298628739856457,0.22084711628963774,0.25291277321405303,0.23172644347643087,0.28082027857693764,0.23034045850210638
condiciones_oculares,0.0864058099186803,0.30683586843535804,0.11298486863521412,1.0,0.11751911201153427,0.26278072311320266,0.26922125508760825,0.187371594410684,0.09298890813255008,0.2705038852673478
lentes,0.0259499648053841,0.3708771461681854,0.2298628739856457,0.11751911201153427,1.0,0.029814239699997195,0.25446569723359674,0.22830070547681652,0.10983392947305519,0.10378132187712184
iluminacion,0.11605177063713189,0.2658105916912843,0.22084711628963774,0.26278072311320266,0.029814239699997195,1.0,0.29357826514772023,0.15891043154093204,0.12598815766974242,0.21940494100755376
frecuencia_de_pausas,0.14829105603927054,0.1274817032857551,0.25291277321405303,0.26922125508760825,0.25446569723359674,0.29357826514772023,1.0,0.22838642599031037,0.19824934416208592,0.3058121909420088
uso_de_dispositivos,0.1484539238050411,0.2321732734498717,0.23172644347643087,0.187371594410684,0.22830070547681652,0.15891043154093204,0.22838642599031037,1.0,0.21687053345908539,0.27509792181686415
distancia_hacia_el_monitor,0.06579516949597687,0.20356259218660225,0.28082027857693764,0.09298890813255008,0.10983392947305519,0.12598815766974242,0.19824934416208592,0.21687053345908539,1.0,0.30949467062308844
severidad_svi,0.2767855820458144,0.2683492537931157,0.23034045850210638,0.2705038852673478,0.10378132187712184,0.21940494100755376,0.3058121909420088,0.27509792181686415,0.30949467062308844,1.0
